技能名,属性,分类,耗能,威力,技能描述,可学习精灵,技能图标,技能图标文件,属性图标,分类图标,技能组,Wiki地址
突袭,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/2/27/7f3o4janbtae1vbvr7aaigrkobbi56j.png,突袭.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E7%AA%81%E8%A2%AD
连续爪击,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/4/42/hludk3r4u00mjji4fvr25cwxq1wih8u.png,连续爪击.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E8%BF%9E%E7%BB%AD%E7%88%AA%E5%87%BB
追打,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/c/c7/8hqd7xet1773chdmt1z9ebu85ym8zao.png,追打.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E8%BF%BD%E6%89%93
旋转突击,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/7/78/rvptw2pcdrwebq0hs3dslj1474iys8h.png,旋转突击.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%97%8B%E8%BD%AC%E7%AA%81%E5%87%BB
偷袭,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/3/31/rvptw2pcdrwebq0hs3dslj1474iys8h.png,偷袭.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%81%B7%E8%A2%AD
乱打,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/6/67/7de7a80ftpuo55uhjmp2608kjcwr4ad.png,乱打.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E4%B9%B1%E6%89%93
乘胜追击,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/9/94/3fn8mi7s1ue8y2u09rlp87y72amdicv.png,乘胜追击.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E4%B9%98%E8%83%9C%E8%BF%BD%E5%87%BB
阻断,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/5/52/sttubxwost2fg8wo5tfg9b9jr49hdpn.png,阻断.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E9%98%BB%E6%96%AD
穿膛,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/3/3b/osv75asggjobutbce6e8qmci3dhssb9.png,穿膛.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E7%A9%BF%E8%86%9B
重击,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/2/2d/r48g0te73oht8fy7wo5tdj1p12lnfqc.png,重击.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E9%87%8D%E5%87%BB
魔能爆,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/a/a9/1a672982nbhah9xcxla6um13j4g1kgz.png,魔能爆.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E9%AD%94%E8%83%BD%E7%88%86
垂死反击,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/b/bf/7188q718rdxjwqtjcnj4ytsnecqa7ue.png,垂死反击.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%9E%82%E6%AD%BB%E5%8F%8D%E5%87%BB
能量刃,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/f/f7/4tu3v2mwcca743aserrwwsfu2ry2rde.png,能量刃.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E8%83%BD%E9%87%8F%E5%88%83
气势一击,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/d/d9/trxlait2icvwlii9lm1x3bf4wh0h7ms.png,气势一击.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%B0%94%E5%8A%BF%E4%B8%80%E5%87%BB
吞噬,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/b/b3/majigkf8rvwhsdljsy5tli2t1p2msgl.png,吞噬.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%90%9E%E5%99%AC
蓄能轰击,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/b/be/llrw5jn7h1beckkbk96stxbtlsq2bba.png,蓄能轰击.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E8%93%84%E8%83%BD%E8%BD%B0%E5%87%BB
力量增效,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/0/03/kqkpuxytz7mjs3n3o6zn8pklqd0stll.png,力量增效.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%8A%9B%E9%87%8F%E5%A2%9E%E6%95%88
魔法增效,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/9/91/ccs5zv2xagec1cs05nqh09in7524vco.png,魔法增效.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E9%AD%94%E6%B3%95%E5%A2%9E%E6%95%88
休息回复,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/c/c1/jano9wuttu2xsegfr835gmxxtxh54us.png,休息回复.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E4%BC%91%E6%81%AF%E5%9B%9E%E5%A4%8D
聒噪,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/5/57/gstfh6wxby4ed5ggyvtveecbzszgmga.png,聒噪.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E8%81%92%E5%99%AA
激怒,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/3/30/pp49lmegm9cmvv79oz7lvaw0h9r6q3m.png,激怒.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%BF%80%E6%80%92
咆哮,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/c/c7/t1ly3hwtrko455661zykdxk08sn32kp.png,咆哮.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%92%86%E5%93%AE
锐利眼神,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/4/4f/5oz1cqwgseng60hqqtrf95lno0abhgz.png,锐利眼神.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E9%94%90%E5%88%A9%E7%9C%BC%E7%A5%9E
快速移动,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/e/e6/pvc3oiw47yx4rl5skzm8ag7knivbm5w.png,快速移动.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%BF%AB%E9%80%9F%E7%A7%BB%E5%8A%A8
伺机而动,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/c/ce/o8pu85s36u0d8o1gofsjqoxdxsgvhoh.png,伺机而动.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E4%BC%BA%E6%9C%BA%E8%80%8C%E5%8A%A8
主场优势,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/5/5e/5uaxsr42trhms21n5gptkhbdgntso52.png,主场优势.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E4%B8%BB%E5%9C%BA%E4%BC%98%E5%8A%BF
操控,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/7/79/mjs772jnvrv9hn1b65lknl2tyzzma35.png,操控.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%93%8D%E6%8E%A7
应激反应,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/f/fc/9p3lluctc0oqi335qby11vhzqdo3zki.png,应激反应.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%BA%94%E6%BF%80%E5%8F%8D%E5%BA%94
棘刺,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/f/fb/bklgf0tt9kxbm7hhif3m2d43at3cbes.png,棘刺.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%A3%98%E5%88%BA
精神扰乱,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/9/9c/9sp9n7fjbbkqprmhvny5tyfoia8uwto.png,精神扰乱.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E7%B2%BE%E7%A5%9E%E6%89%B0%E4%B9%B1
退化,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/f/fb/aqzrftu1f03zi8yqtcjb1m6qo4h9lpv.png,退化.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E9%80%80%E5%8C%96
防御,普通,防御,,,,,https://patchwiki.biligame.com/images/rocom/4/40/d5m527azmrkdmrdvfnayi157ossqe5a.png,防御.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E9%98%B2%E5%BE%A1
防反,普通,防御,,,,,https://patchwiki.biligame.com/images/rocom/e/e0/c606sqa07y5tujdp1eumt76561qggo8.png,防反.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E9%98%B2%E5%8F%8D
血气,普通,防御,,,,,https://patchwiki.biligame.com/images/rocom/e/e4/hr61yqhepb8fb3eqm6rdr12grfgwuh0.png,血气.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E8%A1%80%E6%B0%94
无畏之心,普通,防御,,,,,https://patchwiki.biligame.com/images/rocom/6/67/mtsvwcsxgn96a0q51hp7mujdngp3jz2.png,无畏之心.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%97%A0%E7%95%8F%E4%B9%8B%E5%BF%83
借用,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/0/0e/nh7e53mds21njmjq0qrf8mskxobmuhu.png,借用.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%80%9F%E7%94%A8
取念,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/3/31/ag032vsj7ieb4jbt3sx3w9adisv97a0.png,取念.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%8F%96%E5%BF%B5
复写,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/e/e0/g0nnz4o2vym9p1xc6p7l7crr6o4je0j.png,复写.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%A4%8D%E5%86%99
落星,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/0/0f/cfuyfb8bey4c7scjjg2v9amspxmdldo.png,落星.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E8%90%BD%E6%98%9F
拍击,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/f/f6/0ap4byejiiv82fo5508bzur7spb6wz5.png,拍击.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%8B%8D%E5%87%BB
音波弹,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/3/3e/3udgjr3a2nkr2354lrlch19te7u0q1b.png,音波弹.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E9%9F%B3%E6%B3%A2%E5%BC%B9
许愿星,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/9/9f/tnom58ix8ltac2qdz2dh89owjhcsxty.png,许愿星.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E8%AE%B8%E6%84%BF%E6%98%9F
星星撞击,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/5/56/2eocpd50qt7y6ogp1tongzbzostbzko.png,星星撞击.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%98%9F%E6%98%9F%E6%92%9E%E5%87%BB
能量炮,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/8/8b/22aq46ftxggq5k3w3ybbr3f0al4zwj9.png,能量炮.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E8%83%BD%E9%87%8F%E7%82%AE
压扁,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/7/70/3f928v01mzvptx7li1s3izrvayahgel.png,压扁.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%8E%8B%E6%89%81
践踏,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/6/64/lneemwnlkpdxnwv7h4ltwkp3wh0hdmc.png,践踏.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E8%B7%B5%E8%B8%8F
湮灭,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/6/60/5700mfcn0pp0e3i8k95c65bnsjuk7yg.png,湮灭.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%B9%AE%E7%81%AD
打鼾,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/6/65/czune2a9soqivzso9fa9qtm32whsl8e.png,打鼾.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%89%93%E9%BC%BE
先发制人,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/2/2a/1l0nz4v960abucgq2d817ruvmax416s.png,先发制人.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%85%88%E5%8F%91%E5%88%B6%E4%BA%BA
天旋地转,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/0/0d/lgcu137kryl8dydtsas8f1g5jquenu2.png,天旋地转.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%A4%A9%E6%97%8B%E5%9C%B0%E8%BD%AC
吨位压制,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/d/d3/3f928v01mzvptx7li1s3izrvayahgel.png,吨位压制.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%90%A8%E4%BD%8D%E5%8E%8B%E5%88%B6
以重制重,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/4/42/8iqttew4b8hn16u8mml7692w3lg8hn5.png,以重制重.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E4%BB%A5%E9%87%8D%E5%88%B6%E9%87%8D
当头棒喝,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/c/ce/kyjoo76lh8309jwoy5c0zh10dcf2woa.png,当头棒喝.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%BD%93%E5%A4%B4%E6%A3%92%E5%96%9D
后发制人,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/4/4e/rqh3gnllc6fwdkwqn7nohui2en41xje.png,后发制人.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%90%8E%E5%8F%91%E5%88%B6%E4%BA%BA
加固,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/0/0e/ps2q9cjnxcazv4p9j17w28l3txsp26x.png,加固.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%8A%A0%E5%9B%BA
鼓劲,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/7/74/oajjbzwwe16x7396qomspd384066jyi.png,鼓劲.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E9%BC%93%E5%8A%B2
耀眼,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/c/c9/mmzd0wn1f5ygpf5cshnl6x8l74mg9g9.png,耀眼.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E8%80%80%E7%9C%BC
彗星,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/4/47/26v7jiaa6btiyo478u8xcycgytjf7jb.png,彗星.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%BD%97%E6%98%9F
消毒法,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/f/f7/78eov6j3xevblrz7cj427mxplwni3yr.png,消毒法.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%B6%88%E6%AF%92%E6%B3%95
三连破,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/6/6f/s2oh267qocytu6o3xyp7dig8qdm8xpu.png,三连破.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E4%B8%89%E8%BF%9E%E7%A0%B4
热身运动,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/2/29/n794splvfobhv8u64zt2z4kmldf3v6e.png,热身运动.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E7%83%AD%E8%BA%AB%E8%BF%90%E5%8A%A8
晒太阳,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/e/e5/c101i37mocd5yon1nlxkz86dp0vqu3i.png,晒太阳.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%99%92%E5%A4%AA%E9%98%B3
有效预防,普通,防御,,,,,https://patchwiki.biligame.com/images/rocom/c/c5/53hf4qg6rwoyyhhptnt4saovpxkpyla.png,有效预防.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%9C%89%E6%95%88%E9%A2%84%E9%98%B2
嗜痛,普通,防御,,,,,https://patchwiki.biligame.com/images/rocom/0/0b/pi39rxtn93473fmxturku9so5u4sr4o.png,嗜痛.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%97%9C%E7%97%9B
吓退,普通,防御,,,,,https://patchwiki.biligame.com/images/rocom/b/b8/ezpwek4u1nf1i2ndbs2tbd41t94zbnb.png,吓退.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%90%93%E9%80%80
埋伏,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/e/e0/12njkt382y80dmexw0bn3saetr957ms.png,埋伏.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%9F%8B%E4%BC%8F
逆袭,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/0/09/2xf759wjwkek1e9c4g7vhe2eytirrcy.png,逆袭.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E9%80%86%E8%A2%AD
摇篮曲,普通,状态,,,,,https://patchwiki.biligame.com/images/rocom/2/24/saba0n0pos3pi1rz0os01wbq1vwwa9x.png,摇篮曲.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%91%87%E7%AF%AE%E6%9B%B2
倾泻,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/2/2f/hzcp0597frht4g8e43m9hzwhjtshcmw.png,倾泻.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%80%BE%E6%B3%BB
种子弹,草,物攻,,,,,https://patchwiki.biligame.com/images/rocom/c/c6/au6pow813lqe15lx8u7axt28ykpv2ns.png,种子弹.png,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,,0,https://wiki.biligame.com/rocom/%E7%A7%8D%E5%AD%90%E5%BC%B9
