特性名,效果,图标文件,本地URL,远程URL,来源精灵,详情页
图书守卫者,入场时，若自己魔力值为1，自己获得双攻+50%。,图书守卫者.png,/ability-icons/%E5%9B%BE%E4%B9%A6%E5%AE%88%E5%8D%AB%E8%80%85.png,https://patchwiki.biligame.com/images/rocom/5/54/o3mwxd2l7nxxxcooh6s7h810tevcmu0.png,书魔虫|书卷守护|古卷执政官,https://wiki.biligame.com/rocom/%E4%B9%A6%E9%AD%94%E8%99%AB|https://wiki.biligame.com/rocom/%E4%B9%A6%E5%8D%B7%E5%AE%88%E6%8A%A4|https://wiki.biligame.com/rocom/%E5%8F%A4%E5%8D%B7%E6%89%A7%E6%94%BF%E5%AE%98
圣火骑士,应对成功后，下次攻击威力翻倍。,圣火骑士.png,/ability-icons/%E5%9C%A3%E7%81%AB%E9%AA%91%E5%A3%AB.png,https://patchwiki.biligame.com/images/rocom/d/d5/kh245nlh1a5wms5kv3g5woj9ys818w6.png,小勇狮|炽焰狮|炽心勇狮,https://wiki.biligame.com/rocom/%E5%B0%8F%E5%8B%87%E7%8B%AE|https://wiki.biligame.com/rocom/%E7%82%BD%E7%84%B0%E7%8B%AE|https://wiki.biligame.com/rocom/%E7%82%BD%E5%BF%83%E5%8B%87%E7%8B%AE
地脉,初始能量为0，入场前己方精灵每放1次地系技能，回复3能量。,地脉.png,/ability-icons/%E5%9C%B0%E8%84%89.png,https://patchwiki.biligame.com/images/rocom/f/fa/4rkjvqo8dfqjvdlbehp2h1hikowf4zi.png,布是石|布是岩|布克棱岩,https://wiki.biligame.com/rocom/%E5%B8%83%E6%98%AF%E7%9F%B3|https://wiki.biligame.com/rocom/%E5%B8%83%E6%98%AF%E5%B2%A9|https://wiki.biligame.com/rocom/%E5%B8%83%E5%85%8B%E6%A3%B1%E5%B2%A9
坚韧铠甲,每受到1次攻击伤害，己方队伍获得1次随机奉献。,坚韧铠甲.png,/ability-icons/%E5%9D%9A%E9%9F%A7%E9%93%A0%E7%94%B2.png,https://patchwiki.biligame.com/images/rocom/1/1c/czrn8vi2uxnclvvxbi1v7apna3cfg32.png,小甲虫|铠甲虫,https://wiki.biligame.com/rocom/%E5%B0%8F%E7%94%B2%E8%99%AB|https://wiki.biligame.com/rocom/%E9%93%A0%E7%94%B2%E8%99%AB
坠星,敌方每有1层星陨印记，自己的技能威力+15%。,坠星.png,/ability-icons/%E5%9D%A0%E6%98%9F.png,https://patchwiki.biligame.com/images/rocom/d/da/4nqui1hfb5f5kgqzyf382kc49tl9mb9.png,祭礼巨像,https://wiki.biligame.com/rocom/%E7%A5%AD%E7%A4%BC%E5%B7%A8%E5%83%8F
壮胆,队伍存在虫系精灵，自己获得双攻+50%。,壮胆.png,/ability-icons/%E5%A3%AE%E8%83%86.png,https://patchwiki.biligame.com/images/rocom/d/d0/kfdece2tev6mg02luo76l1gj6e3bnrf.png,伏地兽|贪食鼹|巨噬针鼹,https://wiki.biligame.com/rocom/%E4%BC%8F%E5%9C%B0%E5%85%BD|https://wiki.biligame.com/rocom/%E8%B4%AA%E9%A3%9F%E9%BC%B9|https://wiki.biligame.com/rocom/%E5%B7%A8%E5%99%AC%E9%92%88%E9%BC%B9
复方汤剂,回合结束时，中毒效果触发次数+1。,复方汤剂.png,/ability-icons/%E5%A4%8D%E6%96%B9%E6%B1%A4%E5%89%82.png,https://patchwiki.biligame.com/images/rocom/e/ea/sbqeuld6d0s50vf9j2wwsgl33h2wxpi.png,嘟嘟煲|嘟嘟锅,https://wiki.biligame.com/rocom/%E5%98%9F%E5%98%9F%E7%85%B2|https://wiki.biligame.com/rocom/%E5%98%9F%E5%98%9F%E9%94%85
多人宿舍,自己的能量可以超过能量上限。,多人宿舍.png,/ability-icons/%E5%A4%9A%E4%BA%BA%E5%AE%BF%E8%88%8D.png,https://patchwiki.biligame.com/images/rocom/d/d3/0iit2ctfx6zsrqqi75snqh1dedlq9l1.png,菇菇丁|多菇丁|九幽菇,https://wiki.biligame.com/rocom/%E8%8F%87%E8%8F%87%E4%B8%81|https://wiki.biligame.com/rocom/%E5%A4%9A%E8%8F%87%E4%B8%81|https://wiki.biligame.com/rocom/%E4%B9%9D%E5%B9%BD%E8%8F%87
大捞一笔,回合结束时，偷取所有敌方精灵2能量。,大捞一笔.png,/ability-icons/%E5%A4%A7%E6%8D%9E%E4%B8%80%E7%AC%94.png,https://patchwiki.biligame.com/images/rocom/6/66/potoi7x0s6ctox99d681jrwf4dzstbh.png,幻影荆棘,https://wiki.biligame.com/rocom/%E5%B9%BB%E5%BD%B1%E8%8D%86%E6%A3%98
天通地明,攻击时，若敌方血脉是污染血脉，技能威力+100%。,天通地明.png,/ability-icons/%E5%A4%A9%E9%80%9A%E5%9C%B0%E6%98%8E.png,https://patchwiki.biligame.com/images/rocom/5/52/ac246l7r96slhrktlebg4l2oh115o6m.png,火红尾|雅丹鬃,https://wiki.biligame.com/rocom/%E7%81%AB%E7%BA%A2%E5%B0%BE|https://wiki.biligame.com/rocom/%E9%9B%85%E4%B8%B9%E9%AC%83
夺目,额外获得三个未携带的随机技能，且非光系技能威力+25%。,夺目.png,/ability-icons/%E5%A4%BA%E7%9B%AE.png,https://patchwiki.biligame.com/images/rocom/8/87/cekm8qvbkcuq67nf2cvpwgvfymbazwl.png,彩虹独角兽,https://wiki.biligame.com/rocom/%E5%BD%A9%E8%99%B9%E7%8B%AC%E8%A7%92%E5%85%BD
契约的形状,根据捕捉所用的咕噜球，入场时获得不同效果。,契约的形状.png,/ability-icons/%E5%A5%91%E7%BA%A6%E7%9A%84%E5%BD%A2%E7%8A%B6.png,https://patchwiki.biligame.com/images/rocom/1/1f/m7nod0g19cpxa1odqiuj2b0fhbm3mx2.png,星尘虫|落星虫|陨星虫,https://wiki.biligame.com/rocom/%E6%98%9F%E5%B0%98%E8%99%AB|https://wiki.biligame.com/rocom/%E8%90%BD%E6%98%9F%E8%99%AB|https://wiki.biligame.com/rocom/%E9%99%A8%E6%98%9F%E8%99%AB
奔波命,使用防御技能后，回合结束时脱离。,奔波命.png,/ability-icons/%E5%A5%94%E6%B3%A2%E5%91%BD.png,https://patchwiki.biligame.com/images/rocom/3/34/qsqb5pan54wjvr7o95r2dkj2j30nc61.png,奔波鼠|流浪鼠,https://wiki.biligame.com/rocom/%E5%A5%94%E6%B3%A2%E9%BC%A0|https://wiki.biligame.com/rocom/%E6%B5%81%E6%B5%AA%E9%BC%A0
