编号,名字,阶段,属性,形态分类,形态,是否有异色,图片文件名,本地URL,来源图片URL,详情页URL
NO.011,鸭吉吉（蓬松的样子）,最终形态,普通,原始形态,原始形态,否,NO011_鸭吉吉（蓬松的样子）.png,/icons/NO011_%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E8%93%AC%E6%9D%BE%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/9/9b/lsgonow9dtf4nlte0094yq43stn0nrv.png,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E8%93%AC%E6%9D%BE%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.011,鸭吉吉（紧实的样子）,最终形态,普通,原始形态,原始形态,否,NO011_鸭吉吉（紧实的样子）.png,/icons/NO011_%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%B4%A7%E5%AE%9E%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/f/fd/eewpeu21i6fzcqfcnez834gvppirdw8.png,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%B4%A7%E5%AE%9E%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.011,鸭吉吉（急急急鸭）,最终形态,普通,原始形态,原始形态,否,NO011_鸭吉吉（急急急鸭）.png,/icons/NO011_%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E6%80%A5%E6%80%A5%E6%80%A5%E9%B8%AD%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/6/6f/7sidri1o3ke9cih06jlecsl5g9pqexq.png,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E6%80%A5%E6%80%A5%E6%80%A5%E9%B8%AD%EF%BC%89
NO.011,鸭吉吉（等一等鸭）,最终形态,普通,原始形态,原始形态,否,NO011_鸭吉吉（等一等鸭）.png,/icons/NO011_%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%AD%89%E4%B8%80%E7%AD%89%E9%B8%AD%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/d/dc/1prqafj7lzcp75byt1ttvpfoblncbrg.png,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%AD%89%E4%B8%80%E7%AD%89%E9%B8%AD%EF%BC%89
NO.011,鸭吉吉（起来鸭）,最终形态,普通,原始形态,原始形态,,NO011_鸭吉吉（起来鸭）.png,/icons/NO011_%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E8%B5%B7%E6%9D%A5%E9%B8%AD%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/3/3c/j6agh5wzsw4sxhzzjatf0w077ff8a0t.png,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E8%B5%B7%E6%9D%A5%E9%B8%AD%EF%BC%89
NO.011,鸭吉吉（燃了鸭）,最终形态,普通,原始形态,原始形态,否,NO011_鸭吉吉（燃了鸭）.png,/icons/NO011_%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%87%83%E4%BA%86%E9%B8%AD%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/3/36/qur3wj31ncfb3a9hw2vdvghxn494jtk.png,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%EF%BC%88%E7%87%83%E4%BA%86%E9%B8%AD%EF%BC%89
NO.012,板板壳（本来的样子）,Ⅰ阶,水,原始形态,原始形态,否,NO012_板板壳（本来的样子）.png,/icons/NO012_%E6%9D%BF%E6%9D%BF%E5%A3%B3%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/0/05/7yi5qyeejez9yyyhya70f2fkvtwlrp2.png,https://wiki.biligame.com/rocom/%E6%9D%BF%E6%9D%BF%E5%A3%B3%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.013,咔咔壳（本来的样子）,Ⅱ阶,水,原始形态,原始形态,否,NO013_咔咔壳（本来的样子）.png,/icons/NO013_%E5%92%94%E5%92%94%E5%A3%B3%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/7/70/n9aqhwtf7asg5d60p6rzsxwuupsdtba.png,https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E5%A3%B3%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.014,水泡壳（本来的样子）,最终形态,水,原始形态,原始形态,否,NO014_水泡壳（本来的样子）.png,/icons/NO014_%E6%B0%B4%E6%B3%A1%E5%A3%B3%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/d/d0/0fhxxfotj2zivjel031i1w9v6ys3ts4.png,https://wiki.biligame.com/rocom/%E6%B0%B4%E6%B3%A1%E5%A3%B3%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.015,锥尾羊,Ⅰ阶,幽,原始形态,原始形态,否,NO015_锥尾羊.png,/icons/NO015_%E9%94%A5%E5%B0%BE%E7%BE%8A.png,https://patchwiki.biligame.com/images/rocom/0/0b/c9kn29sskgdppe1ipgd7ooyioj90dyt.png,https://wiki.biligame.com/rocom/%E9%94%A5%E5%B0%BE%E7%BE%8A
NO.016,铃兰羊,Ⅱ阶,幽,原始形态,原始形态,否,NO016_铃兰羊.png,/icons/NO016_%E9%93%83%E5%85%B0%E7%BE%8A.png,https://patchwiki.biligame.com/images/rocom/a/af/pbgcws3qiaqvryk28q9cmer116jy71d.png,https://wiki.biligame.com/rocom/%E9%93%83%E5%85%B0%E7%BE%8A
NO.017,花影羚羊,最终形态,"幽, 恶",原始形态,原始形态,否,NO017_花影羚羊.png,/icons/NO017_%E8%8A%B1%E5%BD%B1%E7%BE%9A%E7%BE%8A.png,https://patchwiki.biligame.com/images/rocom/b/b5/kyhqvze7bxy684o6pql6pkank91011k.png,https://wiki.biligame.com/rocom/%E8%8A%B1%E5%BD%B1%E7%BE%9A%E7%BE%8A
NO.018,雪绒鸟（本来的样子）,Ⅰ阶,翼,原始形态,原始形态,否,NO018_雪绒鸟（本来的样子）.png,/icons/NO018_%E9%9B%AA%E7%BB%92%E9%B8%9F%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/1/1c/1fd8czi6rfr8nf738hbqozt6bozum44.png,https://wiki.biligame.com/rocom/%E9%9B%AA%E7%BB%92%E9%B8%9F%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.019,冬羽雀（本来的样子）,Ⅱ阶,翼,原始形态,原始形态,否,NO019_冬羽雀（本来的样子）.png,/icons/NO019_%E5%86%AC%E7%BE%BD%E9%9B%80%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/3/35/jmw35rn0cvpfhfqzbrqohexipzm8xg1.png,https://wiki.biligame.com/rocom/%E5%86%AC%E7%BE%BD%E9%9B%80%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.020,岚鸟（本来的样子）,最终形态,翼,原始形态,原始形态,否,NO020_岚鸟（本来的样子）.png,/icons/NO020_%E5%B2%9A%E9%B8%9F%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/7/7f/ac3t55pytqhv4x8c9z9w7w6k00glr8p.png,https://wiki.biligame.com/rocom/%E5%B2%9A%E9%B8%9F%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.021,小灵菇,Ⅰ阶,幽,原始形态,原始形态,否,NO021_小灵菇.png,/icons/NO021_%E5%B0%8F%E7%81%B5%E8%8F%87.png,https://patchwiki.biligame.com/images/rocom/b/b8/ltybffbpudghq5tx60h70gy1vdj5xpa.png,https://wiki.biligame.com/rocom/%E5%B0%8F%E7%81%B5%E8%8F%87
NO.022,幻灵菇,Ⅱ阶,"幽, 草",原始形态,原始形态,否,NO022_幻灵菇.png,/icons/NO022_%E5%B9%BB%E7%81%B5%E8%8F%87.png,https://patchwiki.biligame.com/images/rocom/8/8b/3xoutgdtyr7y19dtslj9ijfxv20wb69.png,https://wiki.biligame.com/rocom/%E5%B9%BB%E7%81%B5%E8%8F%87
NO.023,幻影灵菇,最终形态,"幽, 草",原始形态,原始形态,否,NO023_幻影灵菇.png,/icons/NO023_%E5%B9%BB%E5%BD%B1%E7%81%B5%E8%8F%87.png,https://patchwiki.biligame.com/images/rocom/0/0f/915lidbxavc7iprutynlt2z380lxb7x.png,https://wiki.biligame.com/rocom/%E5%B9%BB%E5%BD%B1%E7%81%B5%E8%8F%87
NO.024,石肤蜥（本来的样子）,Ⅰ阶,地,原始形态,原始形态,否,NO024_石肤蜥（本来的样子）.png,/icons/NO024_%E7%9F%B3%E8%82%A4%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/8/8e/gfeccz7923wkt2g0k4zn9isjx7g52r3.png,https://wiki.biligame.com/rocom/%E7%9F%B3%E8%82%A4%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.025,石刺蜥（本来的样子）,Ⅱ阶,地,原始形态,原始形态,否,NO025_石刺蜥（本来的样子）.png,/icons/NO025_%E7%9F%B3%E5%88%BA%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/d/d1/dt0gk8z1gtu051gl10yoxdelrkk5aib.png,https://wiki.biligame.com/rocom/%E7%9F%B3%E5%88%BA%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.026,石冠王蜥（本来的样子）,最终形态,地,原始形态,原始形态,否,NO026_石冠王蜥（本来的样子）.png,/icons/NO026_%E7%9F%B3%E5%86%A0%E7%8E%8B%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/0/00/dlzc7ctb4qlsc5pbonhpcu7kky4x3uz.png,https://wiki.biligame.com/rocom/%E7%9F%B3%E5%86%A0%E7%8E%8B%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.027,布是石,Ⅰ阶,地,原始形态,原始形态,否,NO027_布是石.png,/icons/NO027_%E5%B8%83%E6%98%AF%E7%9F%B3.png,https://patchwiki.biligame.com/images/rocom/8/89/n2olozya089rge7wuokp3nazl44xqst.png,https://wiki.biligame.com/rocom/%E5%B8%83%E6%98%AF%E7%9F%B3
NO.028,布是岩,Ⅱ阶,地,原始形态,原始形态,否,NO028_布是岩.png,/icons/NO028_%E5%B8%83%E6%98%AF%E5%B2%A9.png,https://patchwiki.biligame.com/images/rocom/f/f7/k35p74v6zheql64uqzmjj76g1yalg5e.png,https://wiki.biligame.com/rocom/%E5%B8%83%E6%98%AF%E5%B2%A9
NO.029,布克棱岩,最终形态,地,原始形态,原始形态,否,NO029_布克棱岩.png,/icons/NO029_%E5%B8%83%E5%85%8B%E6%A3%B1%E5%B2%A9.png,https://patchwiki.biligame.com/images/rocom/5/54/108j9nm783krd2nenbkyvvgy2xkgoso.png,https://wiki.biligame.com/rocom/%E5%B8%83%E5%85%8B%E6%A3%B1%E5%B2%A9
NO.030,恶魔叮,Ⅰ阶,"恶, 翼",原始形态,原始形态,否,NO030_恶魔叮.png,/icons/NO030_%E6%81%B6%E9%AD%94%E5%8F%AE.png,https://patchwiki.biligame.com/images/rocom/1/1e/dup0zejk454blppyqq2c2q7mnym6s4s.png,https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E5%8F%AE
NO.031,叮叮恶魔,最终形态,"恶, 翼",原始形态,原始形态,否,NO031_叮叮恶魔.png,/icons/NO031_%E5%8F%AE%E5%8F%AE%E6%81%B6%E9%AD%94.png,https://patchwiki.biligame.com/images/rocom/0/0b/o9iqtz0rdzb2rkqkewx4v29qya3rknq.png,https://wiki.biligame.com/rocom/%E5%8F%AE%E5%8F%AE%E6%81%B6%E9%AD%94
NO.032,毛毛,Ⅰ阶,"虫, 萌",原始形态,原始形态,否,NO032_毛毛.png,/icons/NO032_%E6%AF%9B%E6%AF%9B.png,https://patchwiki.biligame.com/images/rocom/a/af/owgmiaowlsk52x3cjatoiowp9hq4d4u.png,https://wiki.biligame.com/rocom/%E6%AF%9B%E6%AF%9B
NO.033,爬爬,Ⅱ阶,"虫, 萌",原始形态,原始形态,否,NO033_爬爬.png,/icons/NO033_%E7%88%AC%E7%88%AC.png,https://patchwiki.biligame.com/images/rocom/e/ea/524nzn85da28i54swvfzqbucowmlvu0.png,https://wiki.biligame.com/rocom/%E7%88%AC%E7%88%AC
NO.034,化蝶（平常的样子）,最终形态,"虫, 萌",原始形态,原始形态,否,NO034_化蝶（平常的样子）.png,/icons/NO034_%E5%8C%96%E8%9D%B6%EF%BC%88%E5%B9%B3%E5%B8%B8%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/3/3b/s9jxu0z2vcq9ywb7wkgoyyyivr8hvsd.png,https://wiki.biligame.com/rocom/%E5%8C%96%E8%9D%B6%EF%BC%88%E5%B9%B3%E5%B8%B8%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.035,幽影树,最终形态,"幽, 草",原始形态,原始形态,否,NO035_幽影树.png,/icons/NO035_%E5%B9%BD%E5%BD%B1%E6%A0%91.png,https://patchwiki.biligame.com/images/rocom/4/42/h8x8d49z7tbq02dibjv2lgnvk344pb7.png,https://wiki.biligame.com/rocom/%E5%B9%BD%E5%BD%B1%E6%A0%91
NO.036,小鼠獭,Ⅰ阶,"普通, 水",原始形态,原始形态,否,NO036_小鼠獭.png,/icons/NO036_%E5%B0%8F%E9%BC%A0%E7%8D%AD.png,https://patchwiki.biligame.com/images/rocom/7/71/mhtudimorxc3o9un25icovvi9lahiza.png,https://wiki.biligame.com/rocom/%E5%B0%8F%E9%BC%A0%E7%8D%AD
NO.037,燕尾獭,Ⅱ阶,"普通, 水",原始形态,原始形态,否,NO037_燕尾獭.png,/icons/NO037_%E7%87%95%E5%B0%BE%E7%8D%AD.png,https://patchwiki.biligame.com/images/rocom/e/ed/4k5p223a49bec7iscjj7m5ouqdxrufa.png,https://wiki.biligame.com/rocom/%E7%87%95%E5%B0%BE%E7%8D%AD
NO.038,卷胡巨獭,最终形态,"普通, 水",原始形态,原始形态,否,NO038_卷胡巨獭.png,/icons/NO038_%E5%8D%B7%E8%83%A1%E5%B7%A8%E7%8D%AD.png,https://patchwiki.biligame.com/images/rocom/4/4d/h1d1rubaklvrkodj1fr4j8jyiaqho8z.png,https://wiki.biligame.com/rocom/%E5%8D%B7%E8%83%A1%E5%B7%A8%E7%8D%AD
NO.039,矿晶虫,Ⅰ阶,"光, 地",原始形态,原始形态,否,NO039_矿晶虫.png,/icons/NO039_%E7%9F%BF%E6%99%B6%E8%99%AB.png,https://patchwiki.biligame.com/images/rocom/4/4b/rakgahc3c1vonzb7l1oypg0kwmhpi3z.png,https://wiki.biligame.com/rocom/%E7%9F%BF%E6%99%B6%E8%99%AB
NO.040,晶石蜗（西瓜碧玺的样子）,最终形态,"光, 地",原始形态,原始形态,否,NO040_晶石蜗（西瓜碧玺的样子）.png,/icons/NO040_%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E8%A5%BF%E7%93%9C%E7%A2%A7%E7%8E%BA%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/a/a1/bllriabi2ywqr0cnc2au8wyehtcd21y.png,https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E8%A5%BF%E7%93%9C%E7%A2%A7%E7%8E%BA%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.041,奇丽草,Ⅰ阶,草,原始形态,原始形态,是,NO041_奇丽草.png,/icons/NO041_%E5%A5%87%E4%B8%BD%E8%8D%89.png,https://patchwiki.biligame.com/images/rocom/1/1f/kv2w95rommythz2es62viqib0edez2m.png,https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E8%8D%89
NO.041,奇丽草（异色）,Ⅰ阶,草,原始形态,原始形态,是,NO041_奇丽草（异色）.png,/icons/NO041_%E5%A5%87%E4%B8%BD%E8%8D%89%EF%BC%88%E5%BC%82%E8%89%B2%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/2/21/9jmmnn0yuhxye6siwgnsways6nlyxoa.png,https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E8%8D%89
NO.042,奇丽叶,Ⅱ阶,草,原始形态,原始形态,是,NO042_奇丽叶.png,/icons/NO042_%E5%A5%87%E4%B8%BD%E5%8F%B6.png,https://patchwiki.biligame.com/images/rocom/8/89/qe7mpeopll2by3im70dsqtesufqq62z.png,https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E5%8F%B6
NO.042,奇丽叶（异色）,Ⅱ阶,草,原始形态,原始形态,是,NO042_奇丽叶（异色）.png,/icons/NO042_%E5%A5%87%E4%B8%BD%E5%8F%B6%EF%BC%88%E5%BC%82%E8%89%B2%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/b/be/1gz9h4s6ezhutz55lvpvch4qm8fa434.png,https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E5%8F%B6
NO.043,奇丽花,最终形态,草,原始形态,原始形态,是,NO043_奇丽花.png,/icons/NO043_%E5%A5%87%E4%B8%BD%E8%8A%B1.png,https://patchwiki.biligame.com/images/rocom/8/8c/dbgfehb9vsrkwnn1jkxtibxciapkdur.png,https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E8%8A%B1
NO.043,奇丽花（异色）,最终形态,草,原始形态,原始形态,是,NO043_奇丽花（异色）.png,/icons/NO043_%E5%A5%87%E4%B8%BD%E8%8A%B1%EF%BC%88%E5%BC%82%E8%89%B2%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/9/97/hll8utg7tvr4mgggxcjcr1b1u35iutz.png,https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E8%8A%B1
NO.044,丢丢（草地附近的样子）,Ⅰ阶,草,原始形态,原始形态,否,NO044_丢丢（草地附近的样子）.png,/icons/NO044_%E4%B8%A2%E4%B8%A2%EF%BC%88%E8%8D%89%E5%9C%B0%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/6/69/ncos20b0z39xr0ir1185rzav8cxd9vz.png,https://wiki.biligame.com/rocom/%E4%B8%A2%E4%B8%A2%EF%BC%88%E8%8D%89%E5%9C%B0%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.045,卡卡虫（草地附近的样子）,Ⅱ阶,草,原始形态,原始形态,否,NO045_卡卡虫（草地附近的样子）.png,/icons/NO045_%E5%8D%A1%E5%8D%A1%E8%99%AB%EF%BC%88%E8%8D%89%E5%9C%B0%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/d/d7/bi5t0j12hzaiw6f43kjijgblr8les6s.png,https://wiki.biligame.com/rocom/%E5%8D%A1%E5%8D%A1%E8%99%AB%EF%BC%88%E8%8D%89%E5%9C%B0%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.046,卡瓦重（草地附近的样子）,最终形态,草,原始形态,原始形态,否,NO046_卡瓦重（草地附近的样子）.png,/icons/NO046_%E5%8D%A1%E7%93%A6%E9%87%8D%EF%BC%88%E8%8D%89%E5%9C%B0%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89.png,https://patchwiki.biligame.com/images/rocom/9/95/ofh2y3cjn996jnxvajei3j5m1jole74.png,https://wiki.biligame.com/rocom/%E5%8D%A1%E7%93%A6%E9%87%8D%EF%BC%88%E8%8D%89%E5%9C%B0%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
NO.047,护主犬,Ⅰ阶,火,原始形态,原始形态,否,NO047_护主犬.png,/icons/NO047_%E6%8A%A4%E4%B8%BB%E7%8A%AC.png,https://patchwiki.biligame.com/images/rocom/6/64/t29c2r5ooabyzne8dt5uu9bzq10ibtz.png,https://wiki.biligame.com/rocom/%E6%8A%A4%E4%B8%BB%E7%8A%AC
NO.048,音速犬,最终形态,火,原始形态,原始形态,否,NO048_音速犬.png,/icons/NO048_%E9%9F%B3%E9%80%9F%E7%8A%AC.png,https://patchwiki.biligame.com/images/rocom/4/4e/8rkwz0k7qvejlxs78isa65ajn16o1qk.png,https://wiki.biligame.com/rocom/%E9%9F%B3%E9%80%9F%E7%8A%AC
NO.049,绿耳松鼠,Ⅰ阶,普通,原始形态,原始形态,否,NO049_绿耳松鼠.png,/icons/NO049_%E7%BB%BF%E8%80%B3%E6%9D%BE%E9%BC%A0.png,https://patchwiki.biligame.com/images/rocom/b/b5/2foanarop7ik9wf1aqo37m7rdr3ug39.png,https://wiki.biligame.com/rocom/%E7%BB%BF%E8%80%B3%E6%9D%BE%E9%BC%A0
NO.050,抱枕松鼠,Ⅱ阶,普通,原始形态,原始形态,否,NO050_抱枕松鼠.png,/icons/NO050_%E6%8A%B1%E6%9E%95%E6%9D%BE%E9%BC%A0.png,https://patchwiki.biligame.com/images/rocom/3/3f/d7igqblvpoaio9o1ozoa2slcmskbzue.png,https://wiki.biligame.com/rocom/%E6%8A%B1%E6%9E%95%E6%9D%BE%E9%BC%A0
NO.051,蹦床松鼠,最终形态,普通,原始形态,原始形态,否,NO051_蹦床松鼠.png,/icons/NO051_%E8%B9%A6%E5%BA%8A%E6%9D%BE%E9%BC%A0.png,https://patchwiki.biligame.com/images/rocom/5/5e/6lkej27f60uxygncdnl4oktj79t9da2.png,https://wiki.biligame.com/rocom/%E8%B9%A6%E5%BA%8A%E6%9D%BE%E9%BC%A0
NO.052,嘟嘟煲,Ⅰ阶,毒,原始形态,原始形态,否,NO052_嘟嘟煲.png,/icons/NO052_%E5%98%9F%E5%98%9F%E7%85%B2.png,https://patchwiki.biligame.com/images/rocom/4/44/8gr1vgk1hjf59enrdxyhboe35g8rijd.png,https://wiki.biligame.com/rocom/%E5%98%9F%E5%98%9F%E7%85%B2
NO.053,嘟嘟锅,最终形态,毒,原始形态,原始形态,否,NO053_嘟嘟锅.png,/icons/NO053_%E5%98%9F%E5%98%9F%E9%94%85.png,https://patchwiki.biligame.com/images/rocom/2/2a/bn409ikm4m2ir8inziq4jgl12f1lk53.png,https://wiki.biligame.com/rocom/%E5%98%9F%E5%98%9F%E9%94%85
NO.054,小灵面,Ⅰ阶,幽,原始形态,原始形态,否,NO054_小灵面.png,/icons/NO054_%E5%B0%8F%E7%81%B5%E9%9D%A2.png,https://patchwiki.biligame.com/images/rocom/c/ce/60arfjew3ryqzrh5dqh8mi6axn595h4.png,https://wiki.biligame.com/rocom/%E5%B0%8F%E7%81%B5%E9%9D%A2
